-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,
Dates (month/day/year): 02/01/1981 through 12/31/2023 ,,,,,,,,,,,,
Location: Latitude  22.8199   Longitude 83.2828 ,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,,,,
TS                    MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) ,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,
YEAR,DOY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,QV2M,RH2M,PRECTOTCORR
1981,01-02-1981,19.2,12.3,15.75,19.31,10.78,25.48,14.7,-999,9.52,66.62,2.5
1981,02-02-1981,16.2,9.65,12.93,17.15,12.98,23.49,10.51,-999,7.93,68.06,0
1981,03-02-1981,15.2,6.67,10.94,15.89,15.8,24.15,8.34,-999,6.53,60.38,0
1981,04-02-1981,16.38,4.68,10.53,16.4,19.2,27.36,8.16,-999,5.68,51.19,0
1981,05-02-1981,19.86,5.26,12.56,17.87,16.67,28.88,12.21,-999,5.92,41.31,0
1981,06-02-1981,20.89,7.99,14.44,19.69,15.02,29.54,14.51,-999,7.14,46.38,0
1981,07-02-1981,20.19,9.47,14.83,19.8,14.62,28.34,13.72,-999,7.87,53.06,0.82
1981,08-02-1981,18.76,8.24,13.5,18.8,16.77,27.47,10.69,-999,7.26,54.81,1.4
1981,09-02-1981,17.51,7.92,12.72,17.85,14.16,25.74,11.58,-999,7.14,56.19,6.3
1981,10-02-1981,14.1,2.4,8.26,14.26,14.28,22.23,7.94,-999,4.88,49.88,0.25
1981,11-02-1981,14.36,3.06,8.71,14.34,17.95,24.12,6.17,-999,5.07,50.75,1.42
1981,12-02-1981,17.62,2.98,10.3,16.54,16.73,27.49,10.76,-999,5.07,41.38,0
1981,13-02-1981,18.31,3.3,10.8,17.56,17.02,28.69,11.68,-999,5.19,41.25,0
1981,14-02-1981,20.19,3.74,11.97,18.25,15.79,28.9,13.11,-999,5.31,36.69,0
1981,15-02-1981,20.8,3.75,12.27,18.93,16.8,30.34,13.55,-999,5.37,35.69,0
1981,16-02-1981,21.61,6.98,14.3,20.31,16.38,30.77,14.39,-999,6.71,41.75,1.18
1981,17-02-1981,20.16,7.17,13.67,20.07,16.42,29.81,13.4,-999,6.71,46.94,0
1981,18-02-1981,18.83,3.65,11.24,18.85,18.8,29.48,10.68,-999,5.31,41.12,0.1
1981,19-02-1981,19.49,3.37,11.43,19.33,18.29,29.98,11.69,-999,5.19,38.25,0
1981,20-02-1981,19.61,3.69,11.65,19.77,18.32,29.76,11.44,-999,5.31,38.88,0
1981,21-02-1981,19.98,2.59,11.29,20.08,16.44,29.55,13.12,-999,4.94,35.69,0
1981,22-02-1981,19.3,1.72,10.51,18.93,17.85,29.45,11.61,-999,4.64,35,0
1981,23-02-1981,20.04,1.87,10.95,19.77,18.72,30.62,11.9,-999,4.7,33.88,0
1981,24-02-1981,22.83,3.88,13.36,21.38,16.85,32.36,15.51,-999,5.43,31.69,0
1981,25-02-1981,23.14,5.9,14.52,22.29,17.3,33.19,15.89,-999,6.16,36.31,0
1981,26-02-1981,22.96,4.32,13.64,22.48,17.82,33.12,15.3,-999,5.55,33.5,0.02
