-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/1982 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                  MERRA-2 Surface Pressure (kPa) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
GWETTOP             MERRA-2 Surface Soil Wetness (1) 
GWETPROF            MERRA-2 Profile Soil Moisture (1) 
GWETROOT            MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX            MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN            MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS2M_RANGE          MERRA-2 Wind Speed at 2 Meters Range (m/s) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,94.42,94.25,94.07,93.67,93.34,92.92,93.05,93.04,93.55,94.05,94.23,94.56,93.76
PS,1982,94.43,94.2,94.03,93.68,93.61,93.06,93.05,92.92,93.56,94.17,94.31,94.46,93.79
QV2M,1981,6.9,5.98,7.26,5.68,9.83,13.12,19.1,19.17,18.13,12.08,8.97,6.84,11.11
QV2M,1982,8.54,7.63,7.51,7.63,10.38,16.24,18.68,19.47,17.09,13.31,10.31,6.65,11.96
RH2M,1981,63.19,43.88,41.19,23.12,34.62,50.06,88.62,89.12,88.38,72.44,69.0,60.88,60.56
RH2M,1982,65.31,58.25,44.88,31.19,37.38,62.38,82.62,91.38,84.62,74.75,71.94,54.62,63.31
WD2M,1981,8.25,346.12,306.69,330.94,311.69,170.69,223.31,220.31,177.62,9.56,19.75,20.25,319.25
WD2M,1982,10.44,340.62,334.94,294.5,314.06,242.62,230.25,227.56,246.06,39.81,22.12,356.38,307.38
WS2M,1981,1.45,1.94,2.0,2.39,2.25,3.2,2.72,2.18,1.97,1.36,1.3,1.53,2.02
WS2M,1982,1.52,1.91,2.14,2.21,1.99,2.38,2.55,2.51,1.66,1.15,1.29,1.52,1.9
WD10M,1981,23.5,352.44,316.38,337.38,329.19,159.31,222.94,221.44,176.38,12.31,24.5,24.81,338.62
WD10M,1982,18.69,346.69,341.94,299.69,319.12,240.31,229.62,227.94,247.94,44.5,25.0,1.62,319.06
WS10M,1981,2.42,3.13,3.12,3.64,3.26,4.52,3.88,3.23,3.0,2.29,2.3,2.58,3.11
WS10M,1982,2.46,3.03,3.33,3.3,2.92,3.34,3.68,3.66,2.59,1.88,2.15,2.63,2.91
GWETTOP,1981,0.52,0.45,0.38,0.23,0.28,0.39,0.79,0.88,0.88,0.79,0.64,0.5,0.56
GWETTOP,1982,0.48,0.48,0.42,0.31,0.34,0.5,0.73,0.91,0.87,0.75,0.64,0.49,0.58
GWETPROF,1981,0.51,0.47,0.41,0.39,0.39,0.43,0.72,0.9,0.9,0.78,0.6,0.5,0.59
GWETPROF,1982,0.48,0.49,0.45,0.4,0.41,0.48,0.66,0.91,0.89,0.71,0.6,0.5,0.59
GWETROOT,1981,0.51,0.47,0.41,0.39,0.39,0.44,0.73,0.91,0.91,0.78,0.6,0.5,0.59
GWETROOT,1982,0.48,0.49,0.45,0.4,0.41,0.48,0.66,0.93,0.9,0.72,0.6,0.49,0.59
WS2M_MAX,1981,4.73,5.05,5.39,6.36,6.65,8.74,6.05,7.49,9.59,3.51,3.14,4.61,9.59
WS2M_MAX,1982,5.26,4.54,5.91,6.11,5.74,6.73,6.26,7.49,5.28,3.84,4.0,4.58,7.49
WS2M_MIN,1981,0.05,0.35,0.2,0.16,0.09,0.41,0.23,0.38,0.18,0.17,0.06,0.07,0.05
WS2M_MIN,1982,0.06,0.35,0.03,0.17,0.01,0.04,0.41,0.25,0.06,0.09,0.02,0.06,0.01
WS10M_MAX,1981,6.59,6.99,7.09,8.44,8.7,12.28,8.31,10.66,14.23,4.98,4.37,6.5,14.23
WS10M_MAX,1982,7.24,6.2,7.9,8.3,7.64,8.96,8.81,10.98,7.52,5.44,5.73,6.44,10.98
WS10M_MIN,1981,0.06,0.45,0.37,0.32,0.06,0.53,0.41,0.78,0.24,0.35,0.08,0.11,0.06
WS10M_MIN,1982,0.09,0.47,0.16,0.23,0.05,0.03,0.78,0.39,0.11,0.09,0.05,0.12,0.03
WS2M_RANGE,1981,4.69,4.7,5.19,6.2,6.56,8.33,5.82,7.12,9.41,3.34,3.08,4.54,9.55
WS2M_RANGE,1982,5.2,4.19,5.88,5.94,5.73,6.69,5.84,7.24,5.22,3.76,3.98,4.52,7.48
PRECTOTCORR,1981,0.0,0.0,0.0,0.0,0.0,5.27,15.82,10.55,5.27,0.0,0.0,0.0,5.27
