-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/1982 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,14.43,18.98,23.89,30.54,33.83,32.24,25.37,25.18,24.42,20.18,16.15,14.79,23.34
TS,1982,17.69,18.24,22.93,30.19,32.22,30.4,26.41,24.95,24.1,21.41,17.69,15.84,23.52
T2M,1981,15.02,19.41,23.48,29.4,32.01,30.8,25.18,25.1,24.46,21.25,17.16,15.43,23.23
T2M,1982,17.85,18.1,22.48,29.19,30.94,29.43,26.21,24.92,24.25,22.31,18.71,16.77,23.45
T2MDEW,1981,7.23,5.13,7.52,3.38,11.63,15.69,23.08,23.1,22.31,15.79,10.88,7.06,12.8
T2MDEW,1982,10.54,8.71,8.32,8.35,12.99,20.13,22.67,23.37,21.29,17.34,13.18,6.78,14.51
T2MWET,1981,11.12,12.27,15.5,16.39,21.82,23.25,24.13,24.1,23.38,18.51,14.02,11.25,18.01
T2MWET,1982,14.19,13.4,15.4,18.77,21.97,24.78,24.44,24.15,22.76,19.83,15.94,11.77,18.98
T2M_MAX,1981,27.88,33.71,37.76,42.37,43.12,43.64,30.01,30.38,29.63,28.48,28.07,25.76,43.64
T2M_MAX,1982,27.43,29.77,36.14,39.69,42.1,41.15,36.15,29.76,30.23,28.55,26.72,27.4,42.1
T2M_MIN,1981,3.54,6.17,10.33,15.14,21.94,21.5,21.46,20.8,19.83,13.73,8.15,6.98,3.54
T2M_MIN,1982,9.42,6.76,8.96,16.68,20.73,22.33,21.51,20.3,14.92,14.81,6.93,6.06,6.06
CLOUD_AMT,1981,,,,,,,,,,,,,
CLOUD_AMT,1982,,,,,,,,,,,,,
T2M_RANGE,1981,24.34,27.54,27.42,27.23,21.18,22.14,8.55,9.59,9.8,14.74,19.91,18.78,40.1
T2M_RANGE,1982,18.01,23.01,27.18,23.02,21.38,18.82,14.64,9.47,15.31,13.74,19.79,21.34,36.04
TOA_SW_DWN,1981,,,,,,,,,,,,,
TOA_SW_DWN,1982,,,,,,,,,,,,,
ALLSKY_SFC_UVA,1981,,,,,,,,,,,,,
ALLSKY_SFC_UVA,1982,,,,,,,,,,,,,
ALLSKY_SFC_UVB,1981,,,,,,,,,,,,,
ALLSKY_SFC_UVB,1982,,,,,,,,,,,,,
ALLSKY_SRF_ALB,1981,,,,,,,,,,,,,
ALLSKY_SRF_ALB,1982,,,,,,,,,,,,,
