-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,,
Location: Latitude  22.8199   Longitude 83.2828 ,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,
WD2M                MERRA-2 Wind Direction at 2 Meters (Degrees) ,,,,,,,,,,,,,,,
WS2M                MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,,,,,
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,
WS2M_MAX            MERRA-2 Wind Speed at 2 Meters Maximum (m/s) ,,,,,,,,,,,,,,,
WS2M_MIN            MERRA-2 Wind Speed at 2 Meters Minimum (m/s) ,,,,,,,,,,,,,,,
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,,
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,,
WS2M_RANGE          MERRA-2 Wind Speed at 2 Meters Range (m/s) ,,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,,
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,
PS,1981,94.42,94.25,94.07,93.67,93.34,92.92,93.05,93.04,93.55,94.05,94.23,94.56,93.76,
PS,1982,94.43,94.2,94.03,93.68,93.61,93.06,93.05,92.92,93.56,94.17,94.31,94.46,93.79,
PS,1983,94.45,94.23,93.98,93.72,93.46,93.12,93.14,93.12,93.39,93.89,94.41,94.44,93.78,
PS,1984,94.25,94.2,93.98,93.56,93.15,92.85,93.08,92.97,93.62,93.94,94.41,94.23,93.68,
PS,1985,94.35,93.86,93.87,93.51,93.22,92.88,93.13,93.06,93.46,93.96,94.28,94.39,93.66,
PS,1986,94.38,94.27,93.97,93.61,93.35,92.91,93.04,93.17,93.57,94.06,94.27,94.49,93.76,
PS,1987,94.52,94.39,94.03,93.71,93.68,93.05,93.11,93.14,93.45,94.09,94.21,94.53,93.82,
PS,1988,94.38,94.14,93.86,93.72,93.2,93.08,93.08,93.2,93.49,93.89,94.36,94.49,93.74,
PS,1989,94.27,94.19,93.99,93.61,93.24,93.03,93.17,93.09,93.47,93.95,94.44,94.53,93.75,
PS,1990,94.38,94.17,94.04,93.59,93.33,92.94,92.97,93.22,93.43,94.02,94.29,94.52,93.74,
PS,1991,94.39,94.29,93.96,93.71,93.38,93.06,92.87,93.04,93.64,93.96,94.47,94.44,93.76,
PS,1992,94.56,94.19,94.04,93.77,93.4,93.01,93.12,93.14,93.5,93.99,94.38,94.59,93.81,
PS,1993,94.39,94.24,94.1,93.77,93.32,93.11,93.02,93.2,93.45,94.12,94.32,94.5,93.79,
PS,1994,94.33,94.16,93.99,93.73,93.37,92.84,92.8,93.04,93.54,94.12,94.48,94.55,93.74,
PS,1995,94.5,94.22,94.1,93.77,93.35,92.95,92.96,93.13,93.43,93.97,94.15,94.58,93.76,
PS,1996,94.35,94.22,93.86,93.68,93.35,93.16,92.98,93.18,93.43,93.97,94.21,94.46,93.74,
PS,1997,94.39,94.13,94.07,93.86,93.48,93.23,92.92,93.13,93.68,94.34,94.39,94.49,93.84,
PS,1998,94.46,94.38,94.15,93.82,93.38,93.05,93.09,93.28,93.46,93.82,94.15,94.46,93.79,
PS,1999,94.29,94.38,93.77,93.52,93.18,93.07,92.94,93.11,93.35,93.88,94.29,94.44,93.68,
PS,2000,94.3,94.12,93.89,93.48,93.31,93.02,92.96,93.14,93.46,93.86,94.21,94.34,93.67,
