-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,14.43,18.98,23.89,30.54,33.83,32.24,25.37,25.18,24.42,20.18,16.15,14.79,23.34
TS,1982,17.69,18.24,22.93,30.19,32.22,30.4,26.41,24.95,24.1,21.41,17.69,15.84,23.52
TS,1983,15.81,19.62,26.2,30.87,33.79,33.36,27.22,25.82,24.94,20.55,14.76,14.17,23.94
TS,1984,16.01,17.94,24.94,32.2,35.91,29.59,25.65,24.9,23.23,21.05,15.43,15.25,23.52
TS,1985,16.51,17.5,26.83,32.06,35.34,33.19,25.8,25.31,24.21,20.5,16.18,15.05,24.07
TS,1986,15.69,19.1,24.41,31.89,33.28,32.31,25.69,25.12,24.19,21.18,18.43,16.2,23.97
TS,1987,15.73,19.95,24.65,31.94,33.3,33.89,26.84,26.05,24.65,21.48,17.61,15.3,24.29
TS,1988,16.68,20.73,25.21,32.03,35.44,31.55,26.07,25.43,25.03,20.46,17.45,16.76,24.4
TS,1989,14.72,20.44,25.8,31.55,35.14,31.16,26.1,25.46,24.82,21.24,18.21,15.31,24.17
TS,1990,16.95,20.64,25.2,30.83,31.3,29.79,25.21,25.46,24.69,21.09,17.44,14.59,23.6
TS,1991,14.82,21.34,27.76,31.82,37.33,31.11,27.46,25.32,24.07,20.16,15.74,14.18,24.26
TS,1992,14.4,18.19,26.58,31.76,33.48,32.72,27.41,25.45,23.9,21.12,17.87,15.12,24.01
TS,1993,16.6,20.62,24.81,31.06,35.0,31.33,26.4,25.58,24.14,21.71,16.4,12.27,23.83
TS,1994,15.98,18.54,26.13,31.51,35.7,30.49,25.51,25.12,23.73,21.65,17.17,12.99,23.73
TS,1995,13.55,18.33,23.9,30.55,33.4,33.34,26.73,25.19,24.29,21.16,16.15,15.14,23.49
TS,1996,15.58,18.87,25.75,30.85,36.03,30.84,26.2,25.06,24.75,20.66,16.94,13.25,23.73
TS,1997,14.65,18.41,26.72,28.13,33.27,32.08,25.77,24.62,24.12,21.12,19.08,14.67,23.57
TS,1998,13.85,16.68,21.29,30.12,34.98,33.02,26.07,25.78,24.95,23.19,18.23,12.42,23.4
TS,1999,13.51,21.19,25.94,32.41,34.26,30.02,26.19,25.15,24.61,21.75,15.95,13.81,23.73
TS,2000,15.02,18.26,24.5,32.45,33.48,29.6,26.7,25.97,24.26,23.2,20.23,15.93,24.14
TS,2001,16.35,21.63,26.59,30.44,34.75,28.11,25.07,25.46,24.53,21.79,18.14,14.3,23.94
TS,2002,15.54,20.05,25.91,31.48,35.18,31.75,27.7,25.55,23.98,20.91,17.51,16.48,24.35
TS,2003,15.9,20.55,24.74,32.48,34.9,32.33,26.55,25.64,24.75,21.98,16.44,13.12,24.12
TS,2004,13.54,16.78,25.63,31.19,33.81,29.26,25.83,25.25,24.43,20.23,16.1,14.52,23.05
TS,2005,15.53,19.74,25.97,29.81,34.22,33.9,26.08,25.37,24.45,21.6,15.32,13.92,23.83
TS,2006,15.71,21.7,24.15,30.98,33.36,30.81,26.58,25.0,24.37,21.93,18.3,15.61,24.04
TS,2007,16.2,19.77,24.07,32.32,34.42,31.37,25.87,25.05,24.51,20.46,16.52,14.01,23.72
TS,2008,15.19,16.87,25.12,30.52,34.99,28.26,25.23,25.22,24.38,21.26,17.65,15.81,23.39
TS,2009,17.43,21.06,26.75,31.13,35.4,34.03,26.55,25.83,25.08,20.46,18.21,16.09,24.84
